date,commodity,market,state,variety,min_price,max_price,modal_price,avg_price
2023-03-18,Wheat,Azadpur Mandi,Delhi,HD-2967,2330,2681,2505,2400
2023-03-18,Rice,Guntur Market,Andhra Pradesh,BPT-5204,3107,3574,3340,3201
2023-03-18,Cotton,Adilabad APMC,Telangana,Bt Cotton,6175,7105,6640,6801
2023-03-18,Soybean,Indore Mandi,Madhya Pradesh,JS-335,4002,4604,4303,4501
2023-03-18,Groundnut,Rajkot Market,Gujarat,GG-20,4612,5307,4959,5201
2023-03-18,Maize,Nizamabad APMC,Telangana,DHM-117,1752,2016,1884,1900
2023-03-18,Turmeric,Nizamabad Market,Telangana,Rajapuri,6650,7651,7151,7501
2023-03-18,Chilli,Guntur APMC,Andhra Pradesh,S-334,7995,9199,8597,8201
2023-03-18,Onion,Lasalgaon Market,Maharashtra,Nasik Red,2016,2320,2168,2100
2023-03-18,Tomato,Kolar Market,Karnataka,Hybrid,1636,1882,1759,1800
2023-03-18,Potato,Agra Mandi,Uttar Pradesh,Kufri Jyoti,1305,1501,1403,1400
2023-03-18,Mustard,Jaipur Mandi,Rajasthan,Pusa Bold,4959,5705,5332,5601
2023-03-19,Wheat,Azadpur Mandi,Delhi,HD-2967,2332,2683,2508,2401
2023-03-19,Rice,Guntur Market,Andhra Pradesh,BPT-5204,3098,3564,3331,3202
2023-03-19,Cotton,Adilabad APMC,Telangana,Bt Cotton,6113,7034,6574,6803
2023-03-19,Soybean,Indore Mandi,Madhya Pradesh,JS-335,4246,4885,4565,4502
2023-03-19,Groundnut,Rajkot Market,Gujarat,GG-20,4844,5574,5209,5203
2023-03-19,Maize,Nizamabad APMC,Telangana,DHM-117,1757,2021,1889,1901
2023-03-19,Turmeric,Nizamabad Market,Telangana,Rajapuri,7082,8148,7615,7504
2023-03-19,Chilli,Guntur APMC,Andhra Pradesh,S-334,7810,8986,8398,8204
2023-03-19,Onion,Lasalgaon Market,Maharashtra,Nasik Red,1903,2189,2046,2101
2023-03-19,Tomato,Kolar Market,Karnataka,Hybrid,1695,1951,1823,1801
2023-03-19,Potato,Agra Mandi,Uttar Pradesh,Kufri Jyoti,1252,1441,1347,1401
2023-03-19,Mustard,Jaipur Mandi,Rajasthan,Pusa Bold,5154,5930,5542,5603
2023-03-20,Wheat,Azadpur Mandi,Delhi,HD-2967,2318,2667,2492,2402
2023-03-20,Rice,Guntur Market,Andhra Pradesh,BPT-5204,3041,3499,3270,3203
2023-03-20,Cotton,Adilabad APMC,Telangana,Bt Cotton,6435,7403,6919,6806
2023-03-20,Soybean,Indore Mandi,Madhya Pradesh,JS-335,4292,4938,4615,4504
2023-03-20,Groundnut,Rajkot Market,Gujarat,GG-20,5004,5757,5380,5204
2023-03-20,Maize,Nizamabad APMC,Telangana,DHM-117,1741,2003,1872,1902
2023-03-20,Turmeric,Nizamabad Market,Telangana,Rajapuri,7201,8285,7743,7506
2023-03-20,Chilli,Guntur APMC,Andhra Pradesh,S-334,7387,8499,7943,8207
2023-03-20,Onion,Lasalgaon Market,Maharashtra,Nasik Red,2022,2327,2174,2102
2023-03-20,Tomato,Kolar Market,Karnataka,Hybrid,1644,1891,1768,1801
2023-03-20,Potato,Agra Mandi,Uttar Pradesh,Kufri Jyoti,1303,1500,1402,1401
